ID	time	long	lat	Int	pre_p	elev_e	lat_l^2	lon_l^2
129	1	-111.75	78.6500015258789	1	9.350000010596382	0.0	6181.104831872566	12476.889318237314
130	1	-111.25	78.6500015258789	1	9.347777769300672	1.0005090236663818	6181.104831872566	12365.439321289072
131	1	-110.75	78.6500015258789	1	7.6800000190734865	10.843379974365234	6181.104831872566	12254.48932434083
132	1	-110.25	78.6500015258789	1	9.006666670905219	35.31977844238281	6181.104831872566	12144.039327392587
133	1	-109.75	78.6500015258789	1	8.993333350287541	0.0	6181.104831872566	12034.089330444345
143	1	-104.75	78.6500015258789	1	13.938888888888888	0.0	6181.104831872566	10962.089360961923
144	1	-104.25	78.6500015258789	1	15.261111058129204	0.0	6181.104831872566	10857.639364013681
145	1	-103.75	78.6500015258789	1	17.246666653951007	156.0	6181.104831872566	10753.689367065439
146	1	-103.25	78.6500015258789	1	17.565555561913385	27.00090980529785	6181.104831872566	10650.239370117197
147	1	-102.75	78.6500015258789	1	17.555555513170034	214.71629333496094	6181.104831872566	10547.289373168955
148	1	-102.25	78.6500015258789	1	17.87999997668796	153.7440948486328	6181.104831872566	10444.839376220712
149	1	-101.75	78.6500015258789	1	17.222222243414986	170.02220153808594	6181.104831872566	10342.88937927247
150	1	-101.25	78.6500015258789	1	16.573333326975508	252.45140075683594	6181.104831872566	10241.439382324228
151	1	-100.75	78.6500015258789	1	16.247777790493434	178.26609802246094	6181.104831872566	10140.489385375986
152	1	-100.25	78.6500015258789	1	16.257777765062126	33.10158920288086	6181.104831872566	10040.039388427744
153	1	-99.75	78.6500015258789	1	14.603333319558038	0.0	6181.104831872566	9940.089391479502
156	1	-98.25	78.6500015258789	1	14.59555557039049	8.999990463256836	6181.104831872566	9643.239400634775
157	1	-97.75	78.6500015258789	1	15.903333399030897	208.89830017089844	6181.104831872566	9545.289403686533
158	1	-97.25	78.6500015258789	1	16.53555556403266	100.04720306396484	6181.104831872566	9447.83940673829
159	1	-96.75	78.6500015258789	1	16.50444444020589	18.492860794067383	6181.104831872566	9350.889409790048
160	1	-96.25	78.6500015258789	1	14.839999998940362	0.0	6181.104831872566	9254.439412841806
164	1	-94.25	78.6500015258789	1	14.198888900544908	0.0	6181.104831872566	8873.639425048837
165	1	-93.75	78.6500015258789	1	15.53777780532837	0.0	6181.104831872566	8779.689428100595
166	1	-93.25	78.6500015258789	1	15.863333341810439	147.9174041748047	6181.104831872566	8686.239431152353
167	1	-92.75	78.6500015258789	1	17.84777774810791	74.0000228881836	6181.104831872566	8593.28943420411
168	1	-92.25	78.6500015258789	1	21.48555552164714	303.0155944824219	6181.104831872566	8500.839437255869
169	1	-91.75	78.6500015258789	1	25.11111111111111	939.3568725585938	6181.104831872566	8408.889440307627
170	1	-91.25	78.6500015258789	1	28.040000067816834	459.7926940917969	6181.104831872566	8317.439443359384
171	1	-90.75	78.6500015258789	1	28.321111128065322	900.94921875	6181.104831872566	8226.489446411142
172	1	-90.25	78.6500015258789	1	23.322222179836704	353.4462890625	6181.104831872566	8136.0394494629
173	1	-89.75	78.6500015258789	1	25.25555553436279	616.7288208007812	6181.104831872566	8046.089452514658
174	1	-89.25	78.6500015258789	1	23.234444480472146	873.4146728515625	6181.104831872566	7956.639455566416
175	1	-88.75	78.6500015258789	1	19.59333328670926	11.15431022644043	6181.104831872566	7867.689458618173
176	1	-88.25	78.6500015258789	1	17.597777758704293	495.44610595703125	6181.104831872566	7779.239461669931
177	1	-87.75	78.6500015258789	1	16.60222223069932	0.0	6181.104831872566	7691.289464721689
178	1	-87.25	78.6500015258789	1	17.245555538601344	0.0	6181.104831872566	7603.839467773447
179	1	-86.75	78.6500015258789	1	15.608888827429878	293.7637939453125	6181.104831872566	7516.889470825205
180	1	-86.25	78.6500015258789	1	16.261111026340068	363.4173889160156	6181.104831872566	7430.439473876962
181	1	-85.75	78.6500015258789	1	16.25666663911607	301.5863952636719	6181.104831872566	7344.48947692872
182	1	-85.25	78.6500015258789	1	18.52888893551297	617.4406127929688	6181.104831872566	7259.039479980478
183	1	-84.75	78.6500015258789	1	16.572222190433077	305.4486083984375	6181.104831872566	7174.089483032236
184	1	-84.25	78.6500015258789	1	15.931111123826769	326.0409851074219	6181.104831872566	7089.639486083994
185	1	-83.75	78.6500015258789	1	16.576666704813643	562.6489868164062	6181.104831872566	7005.6894891357515
186	1	-83.25	78.6500015258789	1	16.253333346049	524.7642211914062	6181.104831872566	6922.239492187509
187	1	-82.75	78.6500015258789	1	17.245555580986867	3.0	6181.104831872566	6839.289495239267
188	1	-82.25	78.6500015258789	1	19.525555547078458	319.47021484375	6181.104831872566	6756.839498291025
189	1	-81.75	78.6500015258789	1	18.884444416893857	349.3057861328125	6181.104831872566	6674.889501342783
190	1	-81.25	78.6500015258789	1	22.153333314259843	1043.1590576171875	6181.104831872566	6593.439504394541
191	1	-80.75	78.6500015258789	1	29.341111140780978	1402.5340576171875	6181.104831872566	6512.489507446298
192	1	-80.25	78.6500015258789	1	33.91444441477458	1426.883056640625	6181.104831872566	6432.039510498056
193	1	-79.75	78.6500015258789	1	35.248889011806895	1129.9949951171875	6181.104831872566	6352.089513549814
194	1	-79.25	78.6500015258789	1	34.915555530124244	1123.7049560546875	6181.104831872566	6272.639516601572
195	1	-78.75	78.6500015258789	1	31.32222228580051	1057.425048828125	6181.104831872566	6193.68951965333
196	1	-78.25	78.6500015258789	1	27.712222162882487	867.2603759765625	6181.104831872566	6115.239522705087
197	1	-77.75	78.6500015258789	1	28.014444435967338	1347.4449462890625	6181.104831872566	6037.289525756845
