ID	time	long	lat	y	Int	pre_p	elev_e	lat_l^2	lon_l^2
933	1	-106.7	52.20000000000001	-99.35672977060698	1	59.289987789987784	504.0	2724.84	11384.890000000001
1086	1	-123.26083	44.5647222	-51.02631665017448	1	18.60094444444444	76.0	1986.0144647631726	15193.2322122889
1087	1	-124.053	44.637	-37.13385024912975	1	40.43333333333334	45.0	1992.4617690000002	15389.146809
10000	1	-148.9676	63.7232	-134.04862357643643	1	49.54388888888889	661.0	4060.6462182399996	22191.345849760004
10001	1	-109.85883	33.0695	-16.454563928188758	1	80.35005555555556	1173.0	1093.59183025	12068.9625289689
10003	1	-112.153	36.06967	-44.41234693877551	1	72.33	2152.0	1301.0210939089002	12578.295409000002
10004	1	-112.8	31.950329999999997	-37.78814116336957	1	18.964166666666667	506.0	1020.8235871089	12723.840000000002
10006	1	-119.85483	37.791	-41.9105331200853	1	14.605	1408.0	1428.1596809999999	14365.1802743289
10007	1	-105.58633000000002	40.05317	-69.90584363315332	1	55.495666666666665	3520.0	1604.2564270489002	11148.4730828689
10008	1	-107.70117	40.5045	-67.3313248973157	1	24.813555555555556	1998.0	1640.61452025	11599.5420193689
10009	1	-106.7903	37.4686	-68.55389675623336	1	66.59166666666667	3292.0	1403.8959859600002	11404.16817409
10010	1	-108.4875	37.19217	-67.34647955339138	1	39.050999999999995	2172.0	1383.2575093089	11769.537656249997
10011	1	-80.67467	25.387330000000002	-9.763223051753297	1	136.4981746031746	2.0	644.5165245288999	6508.402379608901
10012	1	-84.6005	30.54217	-14.497833994106742	1	117.78531746031746	60.0	932.8241483088999	7157.244600249999
10013	1	-80.6444	28.5428	-13.820442400527115	1	81.03972222222222	2.0	814.69143184	6503.51925136
10014	1	-84.40367	33.17333	-23.950789909485593	1	99.14433333333334	270.0	1100.4698232889	7123.979509468901
10015	1	-93.38883	40.95783	-25.660829907629864	1	70.48272222222222	320.0	1677.5438383089001	8721.473568768899
10016	1	-113.55283000000001	43.45683	-88.92291283253273	1	24.181944444444444	1807.0	1888.4960736489	12894.245201008898
10017	1	-116.05817	44.292	-96.10013403046872	1	23.102499999999996	1442.0	1961.7812640000002	13469.498823748901
10018	1	-88.66983	37.43467	-20.400000855928322	1	66.22228571428572	161.0	1401.3545180088997	7862.3387522289
10019	1	-90.7205	40.93333	-26.209600493550443	1	69.7665	229.0	1675.5375048888998	8230.20912025
10020	1	-87.48467	38.73783	-23.267474108088	1	71.875	134.0	1500.6194731089001	7653.567485008899
10021	1	-96.6055	39.10133	-24.524519230769233	1	95.01055555555554	350.0	1528.9140077688999	9332.622630250002
10022	1	-100.90983	38.66967	-37.60984950886929	1	80.18611111111112	863.0	1495.3433779089003	10182.7937906289
10023	1	-85.0489	37.7047	-24.19375052979571	1	84.33983333333335	293.0	1421.64440209	7233.31539121
10024	1	-90.17517	30.80683	-17.52252653303837	1	119.43571428571427	48.0	949.0607746489001	8131.561284528899
10025	1	-70.0215	41.97217	-34.50927380810733	1	61.912	41.0	1761.6630545089	4903.01046225
10026	1	-71.2147	42.3839	-44.997847234586956	1	61.24531746031746	18.0	1796.39497921	5071.533496089999
10027	1	-76.1515	38.90783	-29.455117777125967	1	91.05353174603175	6.0	1513.8192353088998	5799.05095225
10028	1	-84.67367	45.5565	-48.340678363507784	1	52.437555555555555	238.0	2075.39469225	7169.6303912689
10029	1	-93.46783	47.52533	-55.59255707892441	1	93.50422222222223	431.0	2258.6569916088997	8736.235244908901
10030	1	-95.30032999999999	44.23567	-39.17593671442024	1	104.79522222222222	343.0	1956.7945003488996	9082.152898108901
10031	1	-89.8	34.0015	-19.00696561798812	1	87.4798253968254	134.0	1156.10200225	8064.039999999998
10032	1	-107.43583	45.567829999999994	-87.38722375466493	1	40.33833333333333	957.0	2076.4271309089	11542.457567788899
10033	1	-113.99579999999999	48.5103	-103.16063702362916	1	44.280111111111104	980.0	2353.24920609	12995.042417640003
10034	1	-113.9656	45.6917	-98.80677583492634	1	63.259722222222216	2414.0	2087.7314488899997	12988.157983359999
10035	1	-78.27367	35.02217	-21.71040391048831	1	115.51	41.0	1226.5523915089002	6126.7674152689
10036	1	-103.2642	47.60139999999999	-67.5454550558388	1	37.6325	611.0	2265.89328196	10663.49500164
10037	1	-97.7525	48.77617	-65.17092886636088	1	52.505	306.0	2379.1147598689	9555.551256249999
10038	1	-100.74117	41.0555	-54.33678809693735	1	72.61433333333333	919.0	1685.5540802500002	10148.7833329689
10040	1	-108.23417	33.21883	-34.66346825783832	1	31.297777777777778	1772.0	1103.4906665688998	11714.6355555889
10041	1	-105.4706	32.9094	-33.57843765889279	1	68.58111111111111	2009.0	1083.02860836	11124.047464360001
10042	1	-103.9755	36.774	-47.235111358574606	1	85.79677777777778	2205.0	1352.327076	10810.90460025
