ID	time	long	lat	y	Int	pre_p	elev_e	lat_l^2	lon_l^2
933	1	-106.70000000000003	52.20000000000001	-119.49050841575684	1	31.015134310134304	504.0	2724.84	11384.890000000001
1086	1	-123.26082999999996	44.5647222	-61.365006102402866	1	89.58187103174602	76.0	1986.0144647631726	15193.232212288896
1087	1	-124.05299999999995	44.637	-44.24233468688369	1	99.41708333333332	45.0	1992.4617690000002	15389.146809
1090	1	-118.12480000000002	34.164789999999996	-34.615082575682436	1	49.359833333333334	289.0	1167.2328757441005	13953.468375039996
10000	1	-148.96759999999998	63.72320000000001	-149.54846157953708	1	29.83834523809524	661.0	4060.6462182399996	22191.345849759997
10001	1	-109.85882999999997	33.0695	-24.528591243642285	1	79.40130753968253	1173.0	1093.5918302499997	12068.9625289689
10003	1	-112.153	36.06967	-40.01838554400347	1	38.74666666666668	2152.0	1301.0210939089002	12578.295409
10004	1	-112.79999999999997	31.950330000000005	-57.751285450212876	1	19.981791666666666	506.0	1020.8235871089	12723.839999999998
10005	1	-123.08417	39.00283000000001	-47.85515508396857	1	76.28292424242423	253.0	1521.2207480089003	15149.7129045889
10006	1	-119.85483000000002	37.791	-68.58937849568626	1	51.15108333333333	1408.0	1428.1596809999996	14365.1802743289
10007	1	-105.58633000000002	40.05317000000001	-107.71031246353297	1	93.986375	3520.0	1604.2564270489002	11148.473082868904
10008	1	-107.70117000000003	40.5045	-105.39015939957797	1	21.840944444444446	1998.0	1640.61452025	11599.542019368904
10009	1	-106.7903	37.468599999999995	-90.62011085953088	1	83.16291666666665	3292.0	1403.8959859600002	11404.168174089997
10010	1	-108.48749999999997	37.19216999999999	-88.42408487226653	1	35.76411111111111	2172.0	1383.2575093089	11769.53765625
10011	1	-80.67467	25.387329999999995	-9.444196250377868	1	75.14783531746032	2.0	644.5165245288999	6508.402379608901
10012	1	-84.6005	30.54217	-18.116378622711558	1	94.36775992063492	60.0	932.8241483089	7157.244600249997
10013	1	-80.6444	28.5428	-17.074480671730342	1	91.56534722222221	2.0	814.6914318399998	6503.51925136
10014	1	-84.40367000000002	33.17333000000001	-29.772925025611354	1	84.774	270.0	1100.4698232889002	7123.9795094689025
10015	1	-93.38883	40.95783	-47.24063366628303	1	51.51526388888889	320.0	1677.5438383088997	8721.473568768897
10016	1	-113.55283000000001	43.45682999999999	-117.07067709743151	1	26.976069444444448	1807.0	1888.4960736489	12894.245201008902
10017	1	-116.05817	44.29200000000001	-115.25864985785125	1	42.656625000000005	1442.0	1961.7812640000009	13469.498823748901
10018	1	-88.66983000000003	37.43466999999999	-27.69057911125832	1	63.19787698412699	161.0	1401.3545180089002	7862.338752228899
10019	1	-90.7205	40.933330000000005	-40.31697729044563	1	50.74770833333333	229.0	1675.5375048888998	8230.20912025
10020	1	-87.48467000000001	38.73783000000001	-33.315766119284106	1	61.816319444444424	134.0	1500.6194731089001	7653.567485008899
10021	1	-96.6055	39.101330000000004	-42.817918441193044	1	53.9987638888889	350.0	1528.9140077689	9332.622630250002
10022	1	-100.90983000000001	38.66967	-58.09293166122391	1	40.50190277777778	863.0	1495.3433779089003	10182.7937906289
10023	1	-85.0489	37.7047	-43.575955980471484	1	66.76452777777779	293.0	1421.64440209	7233.31539121
10024	1	-90.17517	30.806829999999994	-22.5787408655264	1	105.5634523809524	48.0	949.0607746489003	8131.561284528899
10025	1	-70.02150000000002	41.97217	-42.31163452167289	1	64.6363888888889	41.0	1761.6630545088994	4903.01046225
10026	1	-71.2147	42.38389999999999	-52.9582181769167	1	64.77821428571428	18.0	1796.3949792099995	5071.533496089999
10027	1	-76.15149999999998	38.90783	-36.68686116225206	1	66.33138293650792	6.0	1513.8192353088998	5799.05095225
10028	1	-84.67367	45.55650000000001	-77.33569131259718	1	44.32130555555556	238.0	2075.39469225	7169.630391268903
10029	1	-93.46783000000003	47.52533	-79.03449499269415	1	48.42361111111112	431.0	2258.6569916088997	8736.2352449089
10030	1	-95.30033000000002	44.235670000000006	-57.12948033835188	1	52.64770833333332	343.0	1956.7945003489	9082.152898108903
10031	1	-89.79999999999997	34.00150000000001	-29.79872426210613	1	82.73228968253967	134.0	1156.10200225	8064.039999999998
10032	1	-107.43582999999998	45.56783000000001	-110.09350053126654	1	26.313666666666666	957.0	2076.4271309089004	11542.457567788897
10033	1	-113.99579999999999	48.51030000000001	-122.80078507552051	1	39.84363888888888	980.0	2353.24920609	12995.04241764
10034	1	-113.9656	45.69169999999999	-118.23758064893198	1	51.53340277777778	2414.0	2087.73144889	12988.157983359999
10035	1	-78.27367000000001	35.02217000000001	-30.10483650280498	1	67.4368611111111	41.0	1226.5523915089	6126.7674152689
10036	1	-103.2642	47.601400000000005	-86.99078118059558	1	23.74659722222222	611.0	2265.8932819600004	10663.495001639998
10037	1	-97.75250000000001	48.776169999999986	-83.33224750511278	1	30.30875	306.0	2379.1147598688995	9555.551256249997
10038	1	-100.74117	41.0555	-65.65551369441525	1	38.13428787878788	919.0	1685.5540802500002	10148.7833329689
10040	1	-108.23416999999996	33.218830000000004	-53.849990635119426	1	24.03090277777778	1772.0	1103.4906665688998	11714.6355555889
10041	1	-105.47060000000003	32.9094	-50.57697037403385	1	35.29876388888888	2009.0	1083.0286083600001	11124.047464360001
10042	1	-103.9755	36.774	-60.7474551668504	1	37.567625	2205.0	1352.3270759999998	10810.904600249998
10043	1	-115.422	36.13483000000001	-72.06941913217736	1	12.674333333333333	1137.0	1305.7259391289003	13322.238084
10044	1	-119.25399999999998	38.792829999999995	-114.48219533729588	1	13.026041666666666	1501.0	1504.8836594089005	14221.516516000002
10045	1	-114.20949999999999	39.00299999999999	-93.07019978574031	1	33.158181818181816	2067.0	1521.234009	13043.809890250004
10046	1	-76.65583000000001	42.73367000000001	-62.93552038108808	1	56.36706944444444	249.0	1826.1665516688993	5876.116272988897
10047	1	-79.39117	42.293	-68.00699090247019	1	56.87769047619047	488.0	1788.697849	6302.957873968901
10048	1	-74.0425	41.350500000000004	-49.94695650306785	1	76.04208333333334	201.0	1709.8638502499998	5482.291806250002
10049	1	-81.53110000000001	39.7928	-48.843186568684395	1	60.90059523809524	276.0	1583.46693184	6647.320267210001
10050	1	-98.20033	36.80317000000001	-37.12501072142594	1	47.40083333333332	345.0	1354.4733220489	9643.304812108898
10051	1	-97.5195	34.97467	-32.64011885074001	1	63.650458333333326	331.0	1223.2275416089	9510.052880250001
10052	1	-101.61717	36.58783	-43.21080738009659	1	30.61554166666667	999.0	1338.6693041089	10326.049238808902
10053	1	-123.60916999999996	44.38467000000001	-52.918003292839046	1	87.66163888888887	104.0	1969.9989310089002	15279.226908088896
10054	1	-122.25199999999997	44.20799999999999	-68.06605392892713	1	122.99983333333334	436.0	1954.3472639999998	14945.551504000001
10055	1	-118.50683000000002	45.221330000000016	-106.70086698228508	1	39.76577777777777	1253.0	2044.9686869688996	14043.8687566489
10057	1	-80.43433000000002	33.53699999999999	-23.240737230869023	1	64.18724206349205	24.0	1124.730369	6469.6814425489
10058	1	-101.855	43.94283000000001	-75.95035231251151	1	33.274151515151516	733.0	1930.9723084088996	10374.441025000002
10059	1	-98.28783	44.353	-59.307330631223216	1	48.18248484848484	398.0	1967.1886090000005	9660.4975261089
10060	1	-84.28567	35.95682999999999	-37.047986852853064	1	96.06852777777779	341.0	1292.8936236488996	7104.0741673488965
10061	1	-97.70416999999999	28.466670000000004	-18.753137942389962	1	63.02029166666667	82.0	810.3513008889003	9546.104835388904
10062	1	-96.25567	29.65683000000001	-18.1325955532948	1	70.42044444444444	54.0	879.5275656488999	9265.1540071489
10063	1	-97.63716999999998	33.38833	-27.980318627412718	1	68.30402777777778	312.0	1114.7805801889006	9533.0169656089
10064	1	-111.89149999999997	41.654999999999994	-106.0242434851643	1	23.162569444444447	1370.0	1735.1390250000002	12519.707772249998
10065	1	-112.17032999999999	37.617830000000005	-86.47358048859597	1	33.05676388888889	2477.0	1415.1011339088998	12582.182932308902
10066	1	-78.54189999999998	38.039699999999996	-46.23548860287054	1	64.26293452380953	172.0	1447.0187760900005	6168.830055609999
10067	1	-72.86799999999998	44.52366999999999	-74.22816331289258	1	81.23616666666668	399.0	1982.3571902689002	5309.745424
10068	1	-123.92582999999998	47.856	-69.77479571548507	1	164.09706944444443	176.0	2290.196736000001	15357.611341188896
10069	1	-117.18417	46.75633	-99.5053746406285	1	32.99926388888889	766.0	2186.1543950689	13732.129698588893
10070	1	-89.65183	46.05167	-71.22557493596061	1	49.24351587301587	501.0	2120.7563097889	8037.450622348901
10071	1	-88.50032999999998	42.574169999999995	-52.19034135155386	1	60.32902777777778	288.0	1812.5599511889002	7832.308410108903
10072	1	-80.95000000000002	37.980000000000004	-56.18066934406475	1	80.33696825396825	753.0	1442.4804000000001	6552.902499999999
10073	1	-109.78533	42.923999999999985	-115.59244415070573	1	18.74576388888889	2388.0	1842.4697759999992	12052.8186832089
10074	1	-110.41883	44.91700000000001	-116.38355257454555	1	26.091388888888897	1912.0	2017.536889	12192.3180185689
10075	1	-106.24080000000002	41.36469999999999	-122.99927554854665	1	64.93625	3212.0	1711.0384060899999	11287.10758464
10076	1	-104.19219999999997	43.87329999999999	-89.04364099236497	1	24.291805555555552	1466.0	1924.8664528900006	10856.01454084
7107200	1	-119.28333300000001	76.233333	-180.98942022587647	1	9.861666666666666	15.0	5811.52106028889	14228.51353158889
7108100	1	-81.25	68.78666699999998	-170.09429870428832	1	15.43333333333333	8.0	4731.605556968889	6601.5625
7108101	1	-78.0	72.39999999999999	-193.83291964507592	1	16.083333333333332	54.0	5241.760000000001	6084.0
