ID	time	long	lat	Int	pre_p	elev_e	lat_l^2	lon_l^2
109	1	-122.44999694824219	76.25	1	5.95388889643881	3.9953269958496094	5806.439534912119	14994.001752624521
110	1	-121.94999694824219	76.25	1	4.042500005828011	11.897809982299805	5806.439534912119	14871.801755676279
111	1	-121.44999694824219	76.25	1	4.201666661765838	65.63126373291016	5806.439534912119	14750.101758728037
112	1	-120.94999694824219	76.25	1	4.68861111038261	34.953590393066406	5806.439534912119	14628.901761779794
113	1	-120.44999694824219	76.25	1	5.260277792645828	48.92927169799805	5806.439534912119	14508.201764831552
114	1	-119.94999694824219	76.25	1	5.748333328300048	228.79800415039062	5806.439534912119	14388.00176788331
115	1	-119.44999694824219	76.25	1	6.976944451199637	0.0	5806.439534912119	14268.301770935068
116	1	-118.94999694824219	76.25	1	7.550833322770066	55.273250579833984	5806.439534912119	14149.101773986826
117	1	-118.44999694824219	76.25	1	7.476111131906509	0.0	5806.439534912119	14030.401777038584
119	1	-117.44999694824219	76.25	1	5.1736111180649855	0.0	5806.439534912119	13794.5017831421
120	1	-116.94999694824219	76.25	1	6.920555553171369	0.0	5806.439534912119	13677.301786193857
121	1	-116.44999694824219	76.25	1	7.014999998940365	0.0	5806.439534912119	13560.601789245615
122	1	-115.94999694824219	76.25	1	4.201388896173897	0.0	5806.439534912119	13444.401792297373
123	1	-115.44999694824219	76.25	1	4.207777771022584	0.0	5806.439534912119	13328.70179534913
124	1	-114.94999694824219	76.25	1	4.049166674415268	57.0	5806.439534912119	13213.501798400888
125	1	-114.44999694824219	76.25	1	3.8905555536349614	32.876399993896484	5806.439534912119	13098.801801452646
126	1	-113.94999694824219	76.25	1	3.812499995032946	0.0	5806.439534912119	12984.601804504404
127	1	-113.44999694824219	76.25	1	3.6538888918028936	7.9999918937683105	5806.439534912119	12870.901807556162
128	1	-112.94999694824219	76.25	1	3.5766666703754	5.586659908294678	5806.439534912119	12757.70181060792
129	1	-112.44999694824219	76.25	1	3.578888894451989	0.0	5806.439534912119	12645.001813659677
134	1	-109.94999694824219	76.25	1	5.078888894451992	0.0	5806.439534912119	12089.001828918466
135	1	-109.44999694824219	76.25	1	4.48833333849907	23.699129104614258	5806.439534912119	11979.301831970224
136	1	-108.94999694824219	76.25	1	4.897500004371013	209.99710083007812	5806.439534912119	11870.101835021982
137	1	-108.44999694824219	76.25	1	4.973888889948531	86.67073822021484	5806.439534912119	11761.40183807374
138	1	-107.94999694824219	76.25	1	4.553055561251114	0.0	5806.439534912119	11653.201841125498
146	1	-103.94999694824219	76.25	1	7.100833332538604	0.0	5806.439534912119	10805.60186553956
147	1	-103.44999694824219	76.25	1	7.512499990728166	0.0	5806.439534912119	10701.901868591318
148	1	-102.94999694824219	76.25	1	7.759722235467699	0.0	5806.439534912119	10598.701871643076
149	1	-102.44999694824219	76.25	1	8.004722232288785	0.0	5806.439534912119	10496.001874694834
150	1	-101.94999694824219	76.25	1	7.588611116674211	8.000345230102539	5806.439534912119	10393.801877746591
151	1	-101.44999694824219	76.25	1	8.911944468816124	1.0	5806.439534912119	10292.10188079835
152	1	-100.94999694824219	76.25	1	8.662777784135617	114.9999008178711	5806.439534912119	10190.901883850107
153	1	-100.44999694824219	76.25	1	9.326388894187078	0.0	5806.439534912119	10090.201886901865
154	1	-99.94999694824219	76.25	1	8.738333329889503	134.87030029296875	5806.439534912119	9990.001889953623
155	1	-99.44999694824219	76.25	1	10.888055562973022	145.7747039794922	5806.439534912119	9890.30189300538
156	1	-98.94999694824219	76.25	1	10.13416667845514	159.51890563964844	5806.439534912119	9791.101896057138
157	1	-98.44999694824219	76.25	1	10.128333332141247	156.93209838867188	5806.439534912119	9692.401899108896
158	1	-97.94999694824219	76.25	1	10.283611114157571	40.83407974243164	5806.439534912119	9594.201902160654
159	1	-97.44999694824219	76.25	1	9.36583332353167	0.0	5806.439534912119	9496.501905212412
162	1	-95.94999694824219	76.25	1	8.845555561780925	0.0	5806.439534912119	9206.401914367685
163	1	-95.44999694824219	76.25	1	9.416666651434362	0.0	5806.439534912119	9110.701917419443
164	1	-94.94999694824219	76.25	1	10.386944432391061	0.0	5806.439534912119	9015.5019204712
165	1	-94.44999694824219	76.25	1	10.63611110779975	0.0	5806.439534912119	8920.801923522959
166	1	-93.94999694824219	76.25	1	10.223611096541095	0.0	5806.439534912119	8826.601926574716
167	1	-93.44999694824219	76.25	1	10.972222224209048	0.0	5806.439534912119	8732.901929626474
168	1	-92.94999694824219	76.25	1	9.163333340485883	0.0	5806.439534912119	8639.701932678232
169	1	-92.44999694824219	76.25	1	11.059166662560575	296.5462951660156	5806.439534912119	8547.00193572999
170	1	-91.94999694824219	76.25	1	11.313611102104183	278.7838134765625	5806.439534912119	8454.801938781748
171	1	-91.44999694824219	76.25	1	11.82027776771122	116.0	5806.439534912119	8363.101941833505
172	1	-90.94999694824219	76.25	1	10.591111104355917	475.6315002441406	5806.439534912119	8271.901944885263
173	1	-90.44999694824219	76.25	1	11.267500007152554	318.1068115234375	5806.439534912119	8181.201947937021
174	1	-89.94999694824219	76.25	1	12.02749998834398	225.81590270996094	5806.439534912119	8091.001950988779
175	1	-89.44999694824219	76.25	1	11.298055574629043	356.9372863769531	5806.439534912119	8001.301954040537
176	1	-88.94999694824219	76.25	1	9.911388875378512	0.0	5806.439534912119	7912.1019570922945
177	1	-88.44999694824219	76.25	1	9.585833354791	0.0	5806.439534912119	7823.401960144052
178	1	-87.94999694824219	76.25	1	10.006388877497782	0.0	5806.439534912119	7735.20196319581
